#LIBRARY    ENDF/B-VIII.0
#REACTION   CL-35(N,EL)CL-35-L0,SIG
#NUCLEUS    Cl-35
#MF         3
#MT         2
#E,eV        Sig,b        Interpolation
 3186.76     1.7278       Lin-Lin
 3638.96     1.67631      Lin-Lin
 4107.12     1.6356       Lin-Lin
 4165.64     1.63312      Lin-Lin
 4197.56     1.63581      Lin-Lin
 4215.18     1.64508      Lin-Lin
 4222.83     1.65669      Lin-Lin
 4227.82     1.67199      Lin-Lin
 4231.14     1.68996      Lin-Lin
 4233.64     1.71164      Lin-Lin
 4235.3      1.73312      Lin-Lin
 4236.96     1.76427      Lin-Lin
 4238.21     1.79827      Lin-Lin
 4239.04     1.82925      Lin-Lin
 4239.81     1.86755      Lin-Lin
 4240.35     1.9022       Lin-Lin
 4240.89     1.94672      Lin-Lin
 4241.42     2.00563      Lin-Lin
 4241.78     2.05621      Lin-Lin
 4242.14     2.11909      Lin-Lin
 4242.44     2.18389      Lin-Lin
 4242.68     2.24609      Lin-Lin
 4242.92     2.31903      Lin-Lin
 4243.16     2.40467      Lin-Lin
 4243.4      2.50524      Lin-Lin
 4243.64     2.62325      Lin-Lin
 4243.82     2.72485      Lin-Lin
 4244        2.83908      Lin-Lin
 4244.18     2.96728      Lin-Lin
 4244.41     3.14973      Lin-Lin
 4244.58     3.30061      Lin-Lin
 4244.74     3.46714      Lin-Lin
 4244.91     3.65043      Lin-Lin
 4245.08     3.85161      Lin-Lin
 4245.24     4.07171      Lin-Lin
 4245.41     4.31174      Lin-Lin
 4245.58     4.57256      Lin-Lin
 4245.74     4.85498      Lin-Lin
 4245.91     5.15956      Lin-Lin
 4246.07     5.48673      Lin-Lin
 4246.24     5.83667      Lin-Lin
 4246.49     6.40413      Lin-Lin
 4246.74     7.02122      Lin-Lin
 4247.02     7.76754      Lin-Lin
 4247.36     8.74223      Lin-Lin
 4247.81     10.1275      Lin-Lin
 4248.47     12.2182      Lin-Lin
 4248.87     13.4105      Lin-Lin
 4249.13     14.1066      Lin-Lin
 4249.37     14.7067      Lin-Lin
 4249.58     15.1812      Lin-Lin
 4249.86     15.7052      Lin-Lin
 4250.1      16.0542      Lin-Lin
 4250.34     16.3074      Lin-Lin
 4250.51     16.4147      Lin-Lin
 4250.76     16.476       Lin-Lin
 4250.96     16.437       Lin-Lin
 4251.15     16.3264      Lin-Lin
 4251.43     16.0515      Lin-Lin
 4251.67     15.7017      Lin-Lin
 4251.95     15.1768      Lin-Lin
 4252.16     14.7019      Lin-Lin
 4252.4      14.1015      Lin-Lin
 4252.65     13.4053      Lin-Lin
 4253.05     12.2133      Lin-Lin
 4253.97     9.32082      Lin-Lin
 4254.23     8.54389      Lin-Lin
 4254.49     7.80322      Lin-Lin
 4254.75     7.1067       Lin-Lin
 4255        6.48383      Lin-Lin
 4255.25     5.9103       Lin-Lin
 4255.42     5.55618      Lin-Lin
 4255.58     5.22479      Lin-Lin
 4255.75     4.91602      Lin-Lin
 4255.92     4.62947      Lin-Lin
 4256.08     4.3646       Lin-Lin
 4256.25     4.12063      Lin-Lin
 4256.41     3.89675      Lin-Lin
 4256.58     3.69195      Lin-Lin
 4256.75     3.50523      Lin-Lin
 4256.91     3.33546      Lin-Lin
 4257.08     3.18153      Lin-Lin
 4257.25     3.04231      Lin-Lin
 4257.47     2.87284      Lin-Lin
 4257.66     2.7513       Lin-Lin
 4257.85     2.64355      Lin-Lin
 4258.04     2.5482       Lin-Lin
 4258.28     2.43807      Lin-Lin
 4258.53     2.34475      Lin-Lin
 4258.78     2.26569      Lin-Lin
 4259.03     2.19865      Lin-Lin
 4259.28     2.14168      Lin-Lin
 4259.57     2.08573      Lin-Lin
 4259.91     2.03301      Lin-Lin
 4260.4      1.97096      Lin-Lin
 4260.9      1.92369      Lin-Lin
 4261.4      1.88673      Lin-Lin
 4262.07     1.84848      Lin-Lin
 4262.9      1.81247      Lin-Lin
 4264.15     1.77373      Lin-Lin
 4265.39     1.74624      Lin-Lin
 4267.05     1.72016      Lin-Lin
 4268.72     1.70165      Lin-Lin
 4272.04     1.67753      Lin-Lin
 4275.37     1.66285      Lin-Lin
 4282.02     1.64643      Lin-Lin
 4290.66     1.63595      Lin-Lin
 4310.61     1.62591      Lin-Lin
 4382.43     1.61534      Lin-Lin
 4927.64     1.5794       Lin-Lin
 5485.03     1.55039      Lin-Lin
 5490.67     1.55063      Lin-Lin
 6437.8      1.51044      Lin-Lin
 7941.91     1.46132      Lin-Lin
 10647.3     1.38232      Lin-Lin
 11636.5     1.34501      Lin-Lin
 12263       1.31298      Lin-Lin
 12724.6     1.28091      Lin-Lin
 13054.4     1.25014      Lin-Lin
 13318.2     1.21772      Lin-Lin
 13532.5     1.18317      Lin-Lin
 13697.3     1.14903      Lin-Lin
 13829.2     1.11479      Lin-Lin
 13944.6     1.07775      Lin-Lin
 14043.6     1.03871      Lin-Lin
 14126       0.999244     Lin-Lin
 14191.9     0.961756     Lin-Lin
 14257.9     0.917562     Lin-Lin
 14307.4     0.878981     Lin-Lin
 14356.8     0.8348       Lin-Lin
 14406.3     0.784089     Lin-Lin
 14439.2     0.746284     Lin-Lin
 14472.2     0.70529      Lin-Lin
 14556.7     0.592904     Lin-Lin
 14575.3     0.571275     Lin-Lin
 14588.6     0.55862      Lin-Lin
 14601.8     0.549905     Lin-Lin
 14612.4     0.547129     Lin-Lin
 14613.2     0.547113     Lin-Lin
 14618.1     0.547762     Lin-Lin
 14626.4     0.55194      Lin-Lin
 14632.6     0.558276     Lin-Lin
 14638.7     0.568077     Lin-Lin
 14644.9     0.58207      Lin-Lin
 14649       0.594183     Lin-Lin
 14653.2     0.608907     Lin-Lin
 14657.3     0.626632     Lin-Lin
 14661.4     0.647814     Lin-Lin
 14665.5     0.672985     Lin-Lin
 14669.6     0.702773     Lin-Lin
 14672.7     0.728584     Lin-Lin
 14675.8     0.757764     Lin-Lin
 14678.9     0.790725     Lin-Lin
 14682.6     0.835917     Lin-Lin
 14685.3     0.872856     Lin-Lin
 14688       0.913845     Lin-Lin
 14690.7     0.959353     Lin-Lin
 14693.3     1.00994      Lin-Lin
 14696       1.06621      Lin-Lin
 14698.7     1.12886      Lin-Lin
 14701.4     1.19863      Lin-Lin
 14703.5     1.25924      Lin-Lin
 14705.6     1.32531      Lin-Lin
 14707.7     1.39739      Lin-Lin
 14709.8     1.47609      Lin-Lin
 14711.9     1.56211      Lin-Lin
 14714.1     1.65621      Lin-Lin
 14716.2     1.75928      Lin-Lin
 14718.3     1.87228      Lin-Lin
 14720.7     2.01771      Lin-Lin
 14723.2     2.18004      Lin-Lin
 14724.8     2.29877      Lin-Lin
 14726.5     2.42684      Lin-Lin
 14728.1     2.5651       Lin-Lin
 14729.7     2.71455      Lin-Lin
 14731.4     2.87627      Lin-Lin
 14733.5     3.10374      Lin-Lin
 14735.6     3.35633      Lin-Lin
 14737.7     3.63742      Lin-Lin
 14739.1     3.84255      Lin-Lin
 14740.5     4.06338      Lin-Lin
 14741.9     4.30139      Lin-Lin
 14743.3     4.55036      Lin-Lin
 14744.6     4.81027      Lin-Lin
 14745.9     5.09005      Lin-Lin
 14747.2     5.39157      Lin-Lin
 14748.5     5.71689      Lin-Lin
 14749.9     6.06832      Lin-Lin
 14751.2     6.4484       Lin-Lin
 14752.5     6.86001      Lin-Lin
 14753.7     7.27738      Lin-Lin
 14754.9     7.69708      Lin-Lin
 14756       8.14858      Lin-Lin
 14757.2     8.63482      Lin-Lin
 14758.3     9.15908      Lin-Lin
 14759.5     9.72495      Lin-Lin
 14760.7     10.3364      Lin-Lin
 14761.8     10.9979      Lin-Lin
 14762.9     11.6612      Lin-Lin
 14764.4     12.666       Lin-Lin
 14765.3     13.3974      Lin-Lin
 14766.3     14.1829      Lin-Lin
 14767.3     15.0273      Lin-Lin
 14768.3     15.9356      Lin-Lin
 14769.3     16.9136      Lin-Lin
 14770.3     17.9672      Lin-Lin
 14771.5     19.4011      Lin-Lin
 14772.8     20.9778      Lin-Lin
 14774       22.7128      Lin-Lin
 14775.2     24.6228      Lin-Lin
 14776.5     26.7256      Lin-Lin
 14777.6     28.8788      Lin-Lin
 14778.7     31.1442      Lin-Lin
 14779.9     33.6089      Lin-Lin
 14781       36.2868      Lin-Lin
 14782.1     39.189       Lin-Lin
 14783.2     42.3254      Lin-Lin
 14784.3     45.702       Lin-Lin
 14785.4     49.3204      Lin-Lin
 14786.9     54.5109      Lin-Lin
 14788.4     60.0868      Lin-Lin
 14790.5     68.5119      Lin-Lin
 14794       82.8787      Lin-Lin
 14795.7     89.6943      Lin-Lin
 14797.3     95.2604      Lin-Lin
 14798.4     98.8917      Lin-Lin
 14799.6     101.94       Lin-Lin
 14800.8     104.316      Lin-Lin
 14802       105.952      Lin-Lin
 14803.2     106.829      Lin-Lin
 14803.8     106.936      Lin-Lin
 14804.9     106.609      Lin-Lin
 14805.8     105.78       Lin-Lin
 14806.8     104.477      Lin-Lin
 14808.1     102.071      Lin-Lin
 14809.3     99.0084      Lin-Lin
 14810.6     95.4189      Lin-Lin
 14812.5     89.3393      Lin-Lin
 14817.9     71.152       Lin-Lin
 14819.6     65.5513      Lin-Lin
