#LIBRARY    INDEN.0-beta
#REACTION   SI-28(N,EL)SI-28-L0,SIG
#NUCLEUS    Si-28
#MF         3
#MT         2
#E,eV        Sig,b        Interpolation
 53884.7     0.00194161   Lin-Lin
 53887.8     0.00203183   Lin-Lin
 53890.9     0.00213082   Lin-Lin
 53894       0.00223866   Lin-Lin
 53898.6     0.0024172    Lin-Lin
 53903.3     0.0026161    Lin-Lin
 53907.9     0.00283569   Lin-Lin
 53912.6     0.00307627   Lin-Lin
 53917.2     0.00333815   Lin-Lin
 53921.9     0.00362165   Lin-Lin
 53926.5     0.00392707   Lin-Lin
 53931.2     0.00425475   Lin-Lin
 53935.8     0.00460498   Lin-Lin
 53940.5     0.0049781    Lin-Lin
 53945.1     0.00537443   Lin-Lin
 53950.5     0.00586662   Lin-Lin
 53956       0.00639139   Lin-Lin
 53961.4     0.0069493    Lin-Lin
 53966.8     0.00754093   Lin-Lin
 53974.1     0.00838333   Lin-Lin
 53980.3     0.00915528   Lin-Lin
 53986.5     0.00997436   Lin-Lin
 53992.7     0.0108413    Lin-Lin
 54000.9     0.0120721    Lin-Lin
 54009.6     0.0134539    Lin-Lin
 54016.9     0.0147067    Lin-Lin
 54024.3     0.0160332    Lin-Lin
 54031.7     0.017436     Lin-Lin
 54041.5     0.019429     Lin-Lin
 54051.6     0.0216231    Lin-Lin
 54061.9     0.0240314    Lin-Lin
 54072.2     0.0266046    Lin-Lin
 54082.6     0.0293496    Lin-Lin
 54094.2     0.0326505    Lin-Lin
 54103.9     0.0355792    Lin-Lin
 54113.6     0.0386749    Lin-Lin
 54126.5     0.0430714    Lin-Lin
 54139.4     0.0477867    Lin-Lin
 54151.2     0.0523763    Lin-Lin
 54163       0.0572526    Lin-Lin
 54174.8     0.0624269    Lin-Lin
 54186.5     0.0679104    Lin-Lin
 54198.3     0.0737143    Lin-Lin
 54210.3     0.0799617    Lin-Lin
 54226.4     0.0889306    Lin-Lin
 54242.6     0.0985822    Lin-Lin
 54258.7     0.108956     Lin-Lin
 54271.7     0.117891     Lin-Lin
 54286.6     0.128731     Lin-Lin
 54301.5     0.140275     Lin-Lin
 54316.4     0.15256      Lin-Lin
 54331.2     0.165626     Lin-Lin
 54346.1     0.179511     Lin-Lin
 54365.1     0.198519     Lin-Lin
 54384.2     0.219044     Lin-Lin
 54403.2     0.241146     Lin-Lin
 54422.2     0.264949     Lin-Lin
 54442.9     0.292862     Lin-Lin
 54463.5     0.323095     Lin-Lin
 54484.2     0.355821     Lin-Lin
 54504.9     0.391214     Lin-Lin
 54524.7     0.427888     Lin-Lin
 54544.6     0.467399     Lin-Lin
 54564.4     0.509957     Lin-Lin
 54584.2     0.55579      Lin-Lin
 54604.1     0.605144     Lin-Lin
 54623.9     0.658288     Lin-Lin
 54643.8     0.715513     Lin-Lin
 54663.6     0.777135     Lin-Lin
 54683.5     0.843498     Lin-Lin
 54703.3     0.914978     Lin-Lin
 54723.2     0.991985     Lin-Lin
 54743       1.07496      Lin-Lin
 54762.8     1.1644       Lin-Lin
 54782.7     1.26084      Lin-Lin
 54802.5     1.36485      Lin-Lin
 54822.4     1.47707      Lin-Lin
 54842.2     1.59821      Lin-Lin
 54862.1     1.72904      Lin-Lin
 54881.9     1.8704       Lin-Lin
 54901.8     2.02321      Lin-Lin
 54921.6     2.1885       Lin-Lin
 54941.4     2.36738      Lin-Lin
 54961.3     2.56111      Lin-Lin
