#LIBRARY    ENDF/B-VIII.0
#REACTION   S-32(N,EL)S-32-L0,SIG
#NUCLEUS    S-32
#MF         3
#MT         2
#E,eV        Sig,b        Interpolation
 30371.4     80.6364      Lin-Lin
 30373.9     82.8613      Lin-Lin
 30376.3     84.4127      Lin-Lin
 30377.9     85.0356      Lin-Lin
 30380       85.3276      Lin-Lin
 30382.3     84.9657      Lin-Lin
 30384.6     83.9075      Lin-Lin
 30386.9     82.1993      Lin-Lin
 30389.2     79.9132      Lin-Lin
 30391.5     77.1397      Lin-Lin
 30394.3     73.2765      Lin-Lin
 30398.3     67.0511      Lin-Lin
 30405.4     55.7217      Lin-Lin
 30408.4     51.095       Lin-Lin
 30411.3     46.91        Lin-Lin
 30414.2     43.0195      Lin-Lin
 30417.2     39.4411      Lin-Lin
 30420.1     36.1757      Lin-Lin
 30423       33.2121      Lin-Lin
 30425.9     30.5327      Lin-Lin
 30428.8     28.1157      Lin-Lin
 30431.7     25.9381      Lin-Lin
 30434.6     23.9766      Lin-Lin
 30437.5     22.2093      Lin-Lin
 30440.6     20.5316      Lin-Lin
 30442.8     19.4061      Lin-Lin
 30445.1     18.3656      Lin-Lin
 30447.4     17.4027      Lin-Lin
 30450.7     16.089       Lin-Lin
 30454.1     14.9147      Lin-Lin
 30457.5     13.862       Lin-Lin
 30460.4     13.045       Lin-Lin
 30463.3     12.298       Lin-Lin
 30466.3     11.6136      Lin-Lin
 30469.2     10.9854      Lin-Lin
 30472.1     10.4076      Lin-Lin
 30475       9.87526      Lin-Lin
 30477.9     9.3839       Lin-Lin
 30480.8     8.92958      Lin-Lin
 30484       8.46393      Lin-Lin
 30487.3     8.03545      Lin-Lin
 30490.5     7.64038      Lin-Lin
 30495.3     7.10336      Lin-Lin
 30500.2     6.62473      Lin-Lin
 30505       6.1966       Lin-Lin
 30509       5.88051      Lin-Lin
 30513.6     5.54018      Lin-Lin
 30518.3     5.23137      Lin-Lin
 30523       4.95021      Lin-Lin
 30527.6     4.69359      Lin-Lin
 30532.3     4.45895      Lin-Lin
 30537       4.24397      Lin-Lin
 30543.9     3.95396      Lin-Lin
 30550.1     3.72666      Lin-Lin
 30556.3     3.52172      Lin-Lin
 30562.4     3.33618      Lin-Lin
 30568.6     3.16778      Lin-Lin
 30574.7     3.01456      Lin-Lin
 30580.9     2.87476      Lin-Lin
 30590.1     2.68698      Lin-Lin
 30599.7     2.5167       Lin-Lin
 30609.4     2.36447      Lin-Lin
 30619.1     2.22993      Lin-Lin
 30628.7     2.11046      Lin-Lin
 30638.4     2.00388      Lin-Lin
 30648.1     1.90842      Lin-Lin
 30657.8     1.82259      Lin-Lin
 30670.7     1.72097      Lin-Lin
 30683.7     1.63182      Lin-Lin
 30696.6     1.55318      Lin-Lin
 30711.1     1.4753       Lin-Lin
 30725.7     1.40699      Lin-Lin
 30740.2     1.34678      Lin-Lin
 30754.7     1.29307      Lin-Lin
 30769.1     1.24579      Lin-Lin
 30790.6     1.18386      Lin-Lin
 30812.1     1.13084      Lin-Lin
 30834.8     1.08264      Lin-Lin
 30857.5     1.04106      Lin-Lin
 30886.8     0.995355     Lin-Lin
 30915.1     0.95809      Lin-Lin
 30945.3     0.924023     Lin-Lin
 30977.6     0.893129     Lin-Lin
 31009.9     0.866763     Lin-Lin
 31058.4     0.833885     Lin-Lin
 31106.9     0.807186     Lin-Lin
 31155.3     0.785179     Lin-Lin
 31219.9     0.761364     Lin-Lin
 31284.5     0.742249     Lin-Lin
 31381.5     0.719836     Lin-Lin
 31478.4     0.702727     Lin-Lin
 31607.6     0.685421     Lin-Lin
 31769.1     0.669532     Lin-Lin
 31962.9     0.655702     Lin-Lin
 32221.4     0.642356     Lin-Lin
 32576.7     0.629275     Lin-Lin
 33093.6     0.615622     Lin-Lin
 33998.2     0.597972     Lin-Lin
 35871.9     0.568799     Lin-Lin
 42458.6     0.473142     Lin-Lin
 43014.1     0.465478     Lin-Lin
 43050.1     0.466309     Lin-Lin
 43062.6     0.46787      Lin-Lin
 43069.6     0.470435     Lin-Lin
 43073.2     0.47412      Lin-Lin
 43075.1     0.477733     Lin-Lin
 43076.9     0.483658     Lin-Lin
 43078.3     0.490471     Lin-Lin
 43079.7     0.500238     Lin-Lin
 43080.6     0.508913     Lin-Lin
 43081.5     0.519749     Lin-Lin
 43082.4     0.533158     Lin-Lin
 43083.4     0.551414     Lin-Lin
 43084.2     0.567869     Lin-Lin
 43084.9     0.586975     Lin-Lin
 43085.7     0.608978     Lin-Lin
 43086.5     0.634091     Lin-Lin
 43087.4     0.668972     Lin-Lin
 43088.3     0.708917     Lin-Lin
 43089.2     0.754009     Lin-Lin
 43090.1     0.804143     Lin-Lin
 43091.3     0.872694     Lin-Lin
 43092.4     0.947374     Lin-Lin
 43094.3     1.08281      Lin-Lin
 43096.2     1.2175       Lin-Lin
 43097.3     1.29037      Lin-Lin
 43098.4     1.35569      Lin-Lin
 43099.3     1.40135      Lin-Lin
 43100       1.43064      Lin-Lin
 43101       1.46287      Lin-Lin
 43101.8     1.48023      Lin-Lin
 43102.7     1.48972      Lin-Lin
 43103       1.49025      Lin-Lin
 43103.8     1.48551      Lin-Lin
 43104.7     1.47082      Lin-Lin
 43105.5     1.4466       Lin-Lin
 43106.6     1.40606      Lin-Lin
 43107.4     1.36337      Lin-Lin
 43108.5     1.29921      Lin-Lin
 43109.6     1.22715      Lin-Lin
 43113.3     0.967347     Lin-Lin
 43114.4     0.893524     Lin-Lin
 43115.5     0.825081     Lin-Lin
 43116.4     0.772992     Lin-Lin
 43117.3     0.725855     Lin-Lin
 43118.3     0.683843     Lin-Lin
 43119.2     0.64695      Lin-Lin
 43120.1     0.614994     Lin-Lin
 43121       0.587692     Lin-Lin
 43121.9     0.564659     Lin-Lin
 43122.8     0.545467     Lin-Lin
 43123.8     0.529652     Lin-Lin
 43124.7     0.516765     Lin-Lin
 43125.6     0.506364     Lin-Lin
 43127       0.494552     Lin-Lin
 43128.4     0.486239     Lin-Lin
 43130.2     0.478956     Lin-Lin
 43132       0.474497     Lin-Lin
 43133.9     0.471735     Lin-Lin
 43137.5     0.468772     Lin-Lin
 43147.1     0.46589      Lin-Lin
 43176.5     0.463364     Lin-Lin
 43383.4     0.459272     Lin-Lin
 46672.1     0.408719     Lin-Lin
 46693.4     0.408651     Lin-Lin
 46727.8     0.409319     Lin-Lin
 46744.2     0.411003     Lin-Lin
 46753.2     0.413802     Lin-Lin
 46757.3     0.417104     Lin-Lin
 46759.3     0.420261     Lin-Lin
 46761.4     0.425494     Lin-Lin
 46762.7     0.430927     Lin-Lin
 46764.1     0.438646     Lin-Lin
 46765.5     0.449531     Lin-Lin
 46766.4     0.459082     Lin-Lin
 46767.3     0.47091      Lin-Lin
 46768.3     0.485439     Lin-Lin
 46769.2     0.504211     Lin-Lin
 46770       0.521886     Lin-Lin
 46770.8     0.542378     Lin-Lin
 46771.5     0.565966     Lin-Lin
 46772.3     0.59289      Lin-Lin
 46773.1     0.623378     Lin-Lin
 46773.8     0.657601     Lin-Lin
 46774.6     0.695683     Lin-Lin
 46775.4     0.737661     Lin-Lin
 46776.1     0.7835       Lin-Lin
 46776.9     0.833048     Lin-Lin
 46778       0.912662     Lin-Lin
 46779.2     0.998547     Lin-Lin
 46781.6     1.19277      Lin-Lin
 46783.4     1.33363      Lin-Lin
 46784.6     1.42223      Lin-Lin
 46785.7     1.49287      Lin-Lin
 46786.6     1.54072      Lin-Lin
 46787.6     1.5824       Lin-Lin
 46788.6     1.60809      Lin-Lin
 46789.4     1.62104      Lin-Lin
 46790       1.62364      Lin-Lin
 46790.9     1.61814      Lin-Lin
 46791.5     1.60655      Lin-Lin
 46792.4     1.57996      Lin-Lin
 46793.1     1.55181      Lin-Lin
 46794.1     1.50145      Lin-Lin
