#LIBRARY    ENDF/B-VIII.0
#REACTION   NA-23(N,EL)NA-23-L0,SIG
#NUCLEUS    Na-23
#MF         3
#MT         2
#E,eV        Sig,b        Interpolation
 2813.01     378.723      Lin-Lin
 2824.68     377.556      Lin-Lin
 2836.34     373.694      Lin-Lin
 2847.63     367.514      Lin-Lin
 2858.92     359.261      Lin-Lin
 2870.21     349.092      Lin-Lin
 2881.5      337.753      Lin-Lin
 2898.44     318.791      Lin-Lin
 2953.01     253.615      Lin-Lin
 2968.06     236.623      Lin-Lin
 2983.12     220.55       Lin-Lin
 2998.17     205.499      Lin-Lin
 3013.22     191.512      Lin-Lin
 3020.75     184.859      Lin-Lin
 3035.8      172.454      Lin-Lin
 3050.86     161.051      Lin-Lin
 3065.91     150.591      Lin-Lin
 3080.96     141.008      Lin-Lin
 3096.02     132.232      Lin-Lin
 3111.07     124.197      Lin-Lin
 3126.13     116.836      Lin-Lin
 3141.18     110.088      Lin-Lin
 3156.23     103.896      Lin-Lin
 3171.29     98.2076      Lin-Lin
 3186.34     92.9759      Lin-Lin
 3201.39     88.1573      Lin-Lin
 3216.45     83.713       Lin-Lin
 3231.5      79.6079      Lin-Lin
 3246.55     75.8106      Lin-Lin
 3261.61     72.2926      Lin-Lin
 3284.19     67.4966      Lin-Lin
 3306.77     63.1739      Lin-Lin
 3329.35     59.3051      Lin-Lin
 3351.93     55.7969      Lin-Lin
 3374.51     52.6365      Lin-Lin
 3397.09     49.7544      Lin-Lin
 3419.67     47.1422      Lin-Lin
 3442.25     44.7474      Lin-Lin
 3472.36     41.8727      Lin-Lin
 3502.47     39.3071      Lin-Lin
 3532.57     37.0077      Lin-Lin
 3566.44     34.696       Lin-Lin
 3600.31     32.6322      Lin-Lin
 3630.42     30.9955      Lin-Lin
 3657.71     29.6197      Lin-Lin
 3694.4      27.9422      Lin-Lin
 3729.68     26.5012      Lin-Lin
 3764.96     25.1882      Lin-Lin
 3807.3      23.7747      Lin-Lin
 3844.94     22.6437      Lin-Lin
 3882.57     21.6251      Lin-Lin
 3920.2      20.6856      Lin-Lin
 3957.84     19.8259      Lin-Lin
 3995.47     19.037       Lin-Lin
 4051.92     17.9646      Lin-Lin
 4108.37     17.022       Lin-Lin
 4164.82     16.173       Lin-Lin
 4221.27     15.4185      Lin-Lin
 4277.73     14.7332      Lin-Lin
